Date,NVDA,MSFT,GOOGL,JNJ,UNH,JPM,V,KO,COST,XOM
2016-02-01,0.7147025465965271,47.90464401245117,38.2495002746582,79.12262725830078,98.73257446289062,45.00895309448242,69.34693908691406,31.402881622314453,127.2684097290039,49.23033142089844
2016-02-02,0.6844558119773865,46.4073600769043,38.75270080566406,78.39484405517578,97.02017211914062,43.60961151123047,68.4332275390625,30.993928909301758,124.9544448852539,48.13330841064453
2016-02-03,0.6878708004951477,45.671844482421875,37.18802261352539,78.9482421875,96.05744171142578,43.90018081665039,69.34693908691406,31.198410034179688,123.4397964477539,50.643558502197266
2016-02-04,0.6881147623062134,45.53175735473633,36.227779388427734,78.76631927490234,97.29277038574219,44.657222747802734,68.69426727294922,31.059640884399414,120.56208801269531,51.51470947265625
2016-02-05,0.6446958780288696,43.920616149902344,34.92412567138672,76.21910858154297,95.17994689941406,44.16018295288086,66.69908905029297,30.993928909301758,121.15956115722656,51.67603302001953
2016-02-08,0.6151807904243469,43.263916015625,34.943973541259766,77.32593536376953,93.73163604736328,43.23491287231445,63.18418884277344,31.14728355407715,123.70909118652344,52.37297439575195
2016-02-09,0.6217668652534485,43.15008544921875,34.78815460205078,77.30317687988281,94.70286560058594,42.97492218017578,63.70627212524414,31.621980667114258,124.48323059082031,52.14505386352539
2016-02-10,0.6203031539916992,43.52660369873047,35.07746505737305,77.12125396728516,96.04891204833984,42.45494079589844,65.40312957763672,31.074254989624023,124.91353607177734,51.66971206665039
2016-02-11,0.6171321272850037,43.50909423828125,35.05315017700195,77.0985107421875,94.24279022216797,40.581478118896484,63.83683395385742,30.972007751464844,123.73230743408203,51.83250427246094
2016-02-12,0.6276211738586426,44.218326568603516,35.07945251464844,77.18948364257812,95.26512908935547,43.96135330200195,65.6548843383789,31.483213424682617,125.41976165771484,52.763671875
2016-02-16,0.658355712890625,45.05613327026367,35.612918853759766,77.56851959228516,98.10212707519531,44.618980407714844,66.28884887695312,31.665794372558594,125.80787658691406,52.88738250732422
2016-02-17,0.674698531627655,46.22905731201172,36.32404708862305,77.70496368408203,100.78578186035156,44.94015121459961,67.28842163085938,31.760738372802734,127.32658386230469,53.39531326293945
2016-02-18,0.7327529788017273,46.02622604370117,35.60647201538086,79.02406311035156,100.0616226196289,44.2060546875,66.55039978027344,31.84838104248047,125.41976165771484,53.68830490112305
2016-02-19,0.7425101399421692,45.699913024902344,35.83473587036133,79.5356674194336,100.25757598876953,44.21369934082031,66.82134246826172,31.96521759033203,125.46194458007812,53.72085952758789
2016-02-22,0.7688542008399963,46.43189239501953,36.17913818359375,79.98619079589844,103.3160629272461,44.7872200012207,68.25059509277344,32.08936309814453,126.6094741821289,53.649253845214844
2016-02-23,0.7708054780960083,45.1355094909668,35.59554672241211,79.47459411621094,103.21383666992188,42.91374588012695,67.4005355834961,31.90680503845215,126.86255645751953,52.89390182495117
2016-02-24,0.7761718034744263,45.29425048828125,35.77469253540039,80.14654541015625,102.40451049804688,42.929046630859375,67.1202621459961,32.06746292114258,129.8240203857422,53.082740783691406
2016-02-25,0.7778793573379517,45.94685363769531,36.1826171875,81.2308349609375,103.25642395019531,43.59431457519531,68.44678497314453,32.25003433227539,130.54119873046875,53.40180206298828
2016-02-26,0.7727567553520203,45.24132537841797,35.971214294433594,80.77269744873047,103.36719512939453,43.99958801269531,67.94234466552734,31.505128860473633,126.2887954711914,53.23250198364258
2016-02-29,0.7677379846572876,44.87094497680664,35.592071533203125,80.33746337890625,101.46735382080078,43.051387786865234,67.6247329711914,31.49782943725586,126.58413696289062,52.19064712524414
2016-03-01,0.8017674684524536,46.370155334472656,36.830223083496094,81.87226104736328,103.6568603515625,45.268959045410156,69.72659301757812,31.90680503845215,126.99752807617188,52.92646026611328
2016-03-02,0.8064188957214355,46.696468353271484,36.69673156738281,81.73483276367188,103.3160629272461,45.697181701660156,69.40896606445312,31.96521759033203,128.9127655029297,53.85110092163086
2016-03-03,0.7993193864822388,46.16730880737305,36.3051872253418,81.43701171875,103.78466033935547,45.85011672973633,69.04464721679688,32.10398483276367,127.9087142944336,53.655757904052734
2016-03-04,0.7968712449073792,45.88511657714844,36.23720169067383,81.32247161865234,103.76762390136719,45.918949127197266,69.03530883789062,32.21352767944336,127.31812286376953,53.58413314819336
2016-03-07,0.7917300462722778,45.00321960449219,35.372737884521484,81.50572967529297,103.73352813720703,45.83482360839844,67.20433044433594,32.1405029296875,125.0147933959961,54.99715042114258
2016-03-08,0.7772861123085022,45.54999923706055,35.408958435058594,81.10868072509766,103.6483383178711,44.94779968261719,65.97125244140625,32.366878509521484,127.36034393310547,53.8055305480957
2016-03-09,0.7767963409423828,46.599464416503906,35.99850845336914,81.58211517333984,103.5970230102539,45.20778274536133,66.02728271484375,32.7247314453125,129.1321563720703,53.655757904052734
2016-03-10,0.7755722403526306,45.90275192260742,36.333980560302734,81.81117248535156,104.44390106201172,44.81779861450195,65.59756469726562,33.031455993652344,128.9802703857422,53.51251220703125
2016-03-11,0.7887923121452332,46.80228805541992,36.964210510253906,82.24641418457031,107.01887512207031,45.37601852416992,66.91474151611328,33.26698303222656,128.8452911376953,53.51901626586914
2016-03-14,0.7907507419586182,46.89048385620117,37.2307014465332,82.20824432373047,107.12153625488281,45.20778274536133,66.783935546875,33.33320617675781,128.8115234375,53.66225051879883
2016-03-15,0.786833643913269,47.26087188720703,37.247074127197266,82.28461456298828,106.80500793457031,45.268959045410156,67.1762924194336,33.296417236328125,130.0855712890625,53.92924880981445
